2021-09-21 23:35:50,"b'bagi yang mau joki tugas tk, sd, smp, sma, kuliah, khususnya basa sunda, basa inggris bisa langsung dm aku ya trusted dong!! \xe2\x99\xa1\n\n#zonaba #zonabu #zonauang #zonajubel #zonaduit #zonacuan #zonajajan #zonalelang https://t.co/EHmbxqpMMx'",︎︎ ︎︎
2021-09-21 23:35:15,"b'Bisa inrush kok, admin ada dua juga\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\n\nOpen joki nugas / nulis / ngetik nih buat kamu yang lagi sibuk ga bisa ngerjain tugasnya\xf0\x9f\x99\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x92\x97\n\n\xf0\x9f\xa7\xbe Qris, All e-wallet, &amp; Bank.\n\xf0\x9f\x93\xa5 Order or tanya-tanya? bisa langsung DM / WA yap! \n\xf0\x9f\xa5\x8f https://t.co/1JasZpiyeK\n#zonauang #zonaba https://t.co/HyBMK28LG1'",JOKI NUGAS / NULIS / NGETIK 
2021-09-21 23:34:29,"b'Haloo! lagi cari joki tugas? kesini aja @AzaleaFdl pengerjaan cepet, v negotiable, free revisi, terpecaya loh\xf0\x9f\x98\x8d testimoni? klik link di bio @AzaleaFdl \nfast respon \xe2\x9e\xa1\xef\xb8\x8f https://t.co/Ez8T2YfQAK #zonauang'",teh firaa / open jastag jam 5 sore besok!
2021-09-21 23:34:19,"b'ini gua saking sering nya ngejoki tugas, jadi temenan sama kang joki nya WKWK'",Aldo jilid 2
2021-09-21 23:34:05,"b'Haloo! lagi cari joki tugas? kesini aja @AzaleaFdl pengerjaan cepet, v negotiable, free revisi, terpecaya loh\xf0\x9f\x98\x8d testimoni? klik link di bio @AzaleaFdl \nfast respon \xe2\x9e\xa1\xef\xb8\x8f https://t.co/Ez8T2YfQAK'",teh firaa / open jastag jam 5 sore besok!
2021-09-21 23:32:00,"b'halllooo, kamu lagi kesusahan/males ngerjain tugas bahasa arab? mending joki tugas ke kak @jokiarabskuyy! Untuk fee nya nyaman di kantong, start from 2k per soal \nbisa semua kelas sampai sma &amp; kuliah yaa\xf0\x9f\xa7\x9a\n\xf0\x9f\x95\x8a\xef\xb8\x8f24 jam ON\n#zonajubel #zonajajan #zonabu #zonaba'",🍭
2021-09-21 23:30:16,b'Bisa joki tugas dan jasa design \nfor fast response langsung chat wa ajaa! https://t.co/ao3wHIBnp7',ata★ JOKI TUGAS JASA DESAIN POSTER
2021-09-21 23:27:01,b'10. [22/09/2021] Joki Resume di Ketik https://t.co/uKJMCL7R8P',"Jual app premium, Sewa Zoom & Joki Nulis"
2021-09-21 23:25:25,b'joktug! ada yg open joki bikin soal dan jawaban matkul bindo??',UNDER=BLOCK PERMANEN
2021-09-21 23:25:11,b'joktug! need jasa joki tugas mandarin untuk jam 10 hari ini',UNDER=BLOCK PERMANEN
2021-09-21 23:25:01,b'\xf0\x9f\x8c\x91 OPEN JASA KETIK DAN JOKI PPT \xf0\x9f\x8c\x91\nOpen jasa ketik word dan joki ppt murah sehari jadi\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\n\n\xe2\x9c\x85 Include revisi 1x\n\xe2\x9c\x85 Trusted\n\xe2\x9c\x85 Whatsapp only https://t.co/lGTYgqk4v9\n\xe2\x9c\x85 Nego materi on Whatsapp \n\n#zonauang #jokitugas #zonaBU https://t.co/G0fVVlNnvU',yaya:D || OPEN RESELLER APP PREMIUM & JOKI TUGAS
2021-09-21 23:24:53,"b'Hai semua! Aku buka joki tugas, ulangan dan UAS yaa\xf0\x9f\x91\xaf\n\xf0\x9f\x93\x8e Semua Pelajaran SD-Kuliah terutama matematika/mtk, fisika, dan kimia. \n\xf0\x9f\x93\x8e Statistika dan Kalkulus\n\xf0\x9f\x93\x8e Membuat Makalah, Artikel, Poster ataupun Essay\n\xf0\x9f\x93\x8e Menggambar / Melukis\n\xf0\x9f\x93\x8e Joki tulis dan ketik\n\nYuk langsung dm aja\xf0\x9f\x92\x8c'","jokinaya | KIMIA, MTK, FISIKA, KALKULUS, STATISTIK"
2021-09-21 23:24:19,"b'Selamat Pagi Semua, aku buka joki tugas, ulangan dan UAS yaa\xf0\x9f\x91\xaf\n\xf0\x9f\x93\x8e Semua Pelajaran SD-Kuliah terutama matematika, fisika, dan kimia. \n\xf0\x9f\x93\x8e Statistika dan Kalkulus\n\xf0\x9f\x93\x8e Membuat Makalah, Artikel, Poster ataupun Essay\n\xf0\x9f\x93\x8e Menggambar / Melukis\n\xf0\x9f\x93\x8e Joki tulis dan ketik\n\nYuk langsung dm aja\xf0\x9f\x92\x8c'","jokinaya | KIMIA, MTK, FISIKA, KALKULUS, STATISTIK"
2021-09-21 23:23:58,"b'Hai semua! Kami open untuk joki tugas ataupun ulangan yaa untuk SMA bisa joki matematika/mtk, kimia, dan fisika. Bisa langsung dm/chat ke WA kami https://t.co/lhdFiG2Uzn \xf0\x9f\x92\x8c\xe2\x9d\xa3\xef\xb8\x8f'","jokinaya | KIMIA, MTK, FISIKA, KALKULUS, STATISTIK"
2021-09-21 23:19:55,b'Desain apapun https://t.co/C51pWIjRje\n\nkartu nama video logo webinar sertifikat company profile id letterhead desain feed instastory banner spanduk joki poster booklet katalog edit foto flyer emoney name card powtoon sosial media\n\n#zonaBA #zonauang #zonacuan #zonaBU #jokitugas',Kajun open desain logo brosur powtoon poster joki
2021-09-21 23:18:53,"b'@joktugfess Aku bisa bgt sini lgsg wa aja, bisa diparafrase hasil under 10% harga santai aja yuk sini gas wa aja https://t.co/rgdpMQVK1s'",JOKI TUGAS ✨
2021-09-21 23:18:31,"b'-TESTIMONI-\n164. Penomoran dan Daftar Tabel Skripsi\n\nJoki tugas/realtime ulangan kimia,makalah, artikel, essay, PPT, ketik, jasa tulis, review jurnal, resume, rapihin word, buat dapus, daftar isi ,gambar, tabel, lampiran juga bisa. Dm or chat WA ya https://t.co/DKFRCvUVuG'",JokiTugas_123 | FASTRESPOND WA di BIO
2021-09-21 23:18:12,"b'Hai yang lagi butuh joki tugas rapihin artikel/skripsi, parafrase,  nurunin turnitin, buat daftar isi otomatis,  daftar pustaka mendeley,  buat abstrak,  kesimpulan dan saran, essay,  review jurnal,  cari jurnal,  proofreading\nDm aku \nhttps://t.co/wxry0eDCtF'",-Nadnad joki tugas essay makalah parafrase dll 📖
2021-09-21 23:18:00,b'open joki pembuatan ppt (langsung chat ke wa link di bio) \xf0\x9f\xa4\x97\n\ndesain ppt akan disesuaiin sama topik tugasnya \xf0\x9f\x98\x8d\n\nga padet dan yang di masukin point2 aja\xf0\x9f\x91\x8d\n\nrangkumannya bisa dari aku jugaa \xf0\x9f\xa4\xa9\n\ntesti di pinned \xf0\x9f\x93\x8c \n\nt: joki jasa pembuatan ppt proposal skripsi power point https://t.co/Do0J6qMUXp',dey🌷LANGSUNG CHAT WA/ DAFTAR ISI PUSTAKA MENDELEY
2021-09-21 23:16:59,b'\xf0\x9f\x94\x96 open joki \n\n\xf0\x9f\x93\x8e pembuatan makalah\n\xf0\x9f\x93\x8e pembuatan essay/paper\n\xf0\x9f\x93\x8e pembuatan jurnal/artikel\n\xf0\x9f\x93\x8e review jurnal\n\xf0\x9f\x93\x8e pembuatan ppt\n\xf0\x9f\x93\x8e tugas2 / konsultasi\n \xf0\x9f\x93\x9a SD SMP SMA / kuliah jurusan kesehatan / kesmas / kesling\n\nlangsung wa (link di bio)\xf0\x9f\xa4\xa9\n\ntesti bisa cek di \xf0\x9f\x93\x8c yup',dey🌷LANGSUNG CHAT WA/ DAFTAR ISI PUSTAKA MENDELEY
2021-09-21 23:16:47,"b'\xf0\x9f\x93\x82 open joki \n\n\xf0\x9f\x93\x8edaftar pustaka mendeley\n\xf0\x9f\x93\x8edaftar isi\n\xf0\x9f\x93\x8edaftar tabel\n\xf0\x9f\x93\x8edaftar gambar \n\xf0\x9f\x93\x8epenomoran halaman\n\xf0\x9f\x93\x8e rapihin file\n\xf0\x9f\x93\x8e parafrase / turunin plagiat\n\n \xf0\x9f\x93\x9a untuk skripsi, proposal, TA, tesis, makalah \n\nlangsung wa (link di bio)\xf0\x9f\xa4\xa9\n\ntesti cek pinned \xf0\x9f\x93\x8c https://t.co/ukR3XJJ3vK https://t.co/IIpX6hivn5'",dey🌷LANGSUNG CHAT WA/ DAFTAR ISI PUSTAKA MENDELEY
2021-09-21 23:15:46,b'-TESTIMONI-\n163. Realtime Ulangan Sel Volta &amp; Elektrolisis\n\nAlhamdulillah cust dapet nilai ulangan 95\n\nAda tugas kimia yg deadlinenya mepet? Bisa banget joki.Pengerjaan cepat karna dikerjakan lulusan kimia.Realtime ulangan kimia juga masih bisa nih. https://t.co/8zuEOUjOVd',JokiTugas_123 | FASTRESPOND WA di BIO
2021-09-21 23:15:32,b'79. Realtime bahasa inggris (tes kerja)\n\n#KuKerjainAja #jokitugas #jokitugaskuliah #jokitugasbahasainggris #joki #testimoni #raltimebahasainggris https://t.co/jpG7NsDY6R',KuKerjainAja JokiTugas + Kursus TOEFL Murah | OPEN
2021-09-21 23:15:01,b'Lm need jasa joki tugas mandarin untuk hari ini',⋆ DILARANG LANGGAR RULES ⋆
2021-09-21 23:10:00,b'ppp! yang nyari joki tugas ayo merapat https://t.co/mrHyNPo8Vr',ppp!
2021-09-21 23:09:44,"b'Open Joki Tugas Statistika dan Analisis data, Yuk langsng aja dm atau chat tele kita di bio untuk fast respon, testimoni bisa di cek di pin atau media\xe3\x80\xbd\xef\xb8\x8f\xe3\x80\xbd\xef\xb8\x8f\n #jokitugas #Jokistatistik #Jokianalisisdata'",Plankton
2021-09-21 23:08:48,b'Testimoni Joki Tugas Statistik dan Analisis Data.\nOPEN JOKI TUGAS STATISTIKA DAN ANALISIS DATA \xe3\x80\xbd\xef\xb8\x8f\xe3\x80\xbd\xef\xb8\x8f\nPengerjaan :\n-SPSS\n-WORD\n-EXCEL\n-TULIS TANGAN \n#Joki #jokitugas #zonajajan #zonauang #zonaBU #jokispss #Jokistatistik #Jokianalisisdata https://t.co/4mbbfs1g48',Plankton
2021-09-21 23:07:11,"b'bismillahirrahmanirrahim open ! yu yang punya tugas deadline mepet bisa ! buat ppt , poster , sticker , mind map , flowchart juga bisa ! joki tugas tulis , ketik , bikin rangkuman juga bisa yaa ! dm / https://t.co/xiWqEowWti \n\n#zonauang\xe1\x85\xa0\xe1\x85\xa0\xe1\x85\xa0 #Zonajajan https://t.co/0t4fLHHdWJ'","joki tugas, joki tulis/ketik, rangkum, desain ! 💗"
2021-09-21 23:05:38,b'LM yang nyari joki tugas ayo merapat https://t.co/wQmvtoN9qP',GA BOLEH JWAL UNDER HRG PASAR
2021-09-21 23:05:38,"b'Butuh joki sekarang, yg bisa langsung dikerjain #zonauang #zonaba https://t.co/4B2rvNrAoL'",adeknya eunbyul
2021-09-21 23:03:50,"b'Lagi pusing ngerjain tugas? Bingung mau nyari joki kemana? JIMIVERA jawabannya\xf0\x9f\x91\x8d. Kami hadir untuk membantu tugas :\n\xe2\x9c\xa8Bahasa Indonesia, Inggris, Prancis, Jepang, Mandarin\n\xe2\x9c\xa8PKN\n\xe2\x9c\xa8Agama\n\xe2\x9c\xa8Jastul\n\xe2\x9c\xa8Essay\n\xe2\x9c\xa8Review film\n\xe2\x9c\xa8Parafrase\n\nDijamin pelayanan ramah dan hasil memuaskan https://t.co/UFL1s6Aexm'",JIMIVERA: open joktug!
2021-09-21 23:03:37,b'108. #testimonijokiintugas_ joki tugas makalah sejarah https://t.co/JIJfhxggyK',joki tugas • wa for fastresp
2021-09-21 23:03:29,b'@joktugfess bisa nder fee start 4k/soal https://t.co/qis4BFiphk',jokidhni | teknik sipil
2021-09-21 23:00:31,b'@Ndrorxx Di joki rizki faidan',JAVVA
2021-09-21 23:00:20,b'bingung sama translation dan tugas bahas inggris? joki tugas di aku sini! dijamin trusted dengan hasil yang memuaskan! \xf0\x9f\x92\xaf',𝓬𝓮𝓬𝓲𝓵 🍒 open !
2021-09-21 22:59:51,"b'Cisandtrans buka jasa\n\n- joki tugas (pilgan, essay, hitungan)\n- pembuatan makalah, laporan, skripsi\n- tutor\n\nBidang saintek terutama kimia (kimia organik, kimia fisik, kimia anorganik, biokimia, dan kimia analitik)\n\nSMA kelas 10 11 12, UTBK, dan kuliah\n\nDm for more info #zonauang https://t.co/NK0nWuLKAu https://t.co/6Gx58xt1Ot'",Fira. Joki Tugas Kimia
2021-09-21 22:59:13,b'@joktugfess hi kak bisa dm yaa\nhttps://t.co/qis4BFiphk',jokidhni | teknik sipil
2021-09-21 22:58:25,"b'\xe2\x9c\xa8open joki tugas\xe2\x9c\xa8\n\xe2\x8f\xa9 makalah, artikel jurnal, PPT\n\xe2\x8f\xa9 tulis, ketik.\n\xe2\x8f\xa9 resume, review.\n\xe2\x8f\xa9 edit foto &amp; video.\n\xe2\x8f\xa9 soal pg &amp; esai.\n\xe2\x8f\xa9 bahasa inggris \ndll...\n\xe2\x9e\xa1DM langsung/wa di bio\n\xe2\x9e\xa1testi ada di pinned\nTanya - tanya dulu juga boleh\xf0\x9f\xa5\xb0\xf0\x9f\x92\x96\n#zonauang #jokitugas'",Joktug *fast response wa*
2021-09-21 22:56:07,"b'@collegemenfess Kalo mau bikin kayak gitu dan submit ke sinta 2 minimal, kalo mau cepet dan pasti dapat LoA, pakelah joki. Joki jg duitnya gak dikit... Wkwkwkwk'",zol
2021-09-21 22:54:00,b'Joktug! Joki matematika yang udah buka dong yang perngerjaannya fast mau nge joki satu soal aja drop fee',UNDER=BLOCK PERMANEN
2021-09-21 22:53:25,"b'Joktug! Need joki buat daftar isi, drop wa dan v'",UNDER=BLOCK PERMANEN
2021-09-21 22:53:03,b'Yukk dm @khaihzure \n\n\xe2\x9c\xa8Haloo aku open joki tugas \xe2\x9c\xa8\n\xf0\x9f\x91\x89 Review jurnal\n\xf0\x9f\x91\x89Makalah ppt\n\xf0\x9f\x91\x89PKM-GT\n\xf0\x9f\x91\x89TUGAS KIMIA SMA\n\xf0\x9f\x91\x89 TRANSLATE JURNAL\n\xf0\x9f\x91\x89TUGAS SOSHUM\n\xf0\x9f\x91\x89Resume makalah\nt. tugas kimia ulangan realtime ujian jastik jasa ketik ppt makalah word\n#zonuang\n#zonajajan\n#jokitugas https://t.co/QRdOogp906',dinn JAZTAG
2021-09-21 22:50:32,b'@anidatunimida @collegemenfess Joki aja dibayar \xf0\x9f\xa4\xa3',Gasuka seblak
